path,md5,n_pts,n_raw_ge0,f_min,f_max,hdr_row,V,I0,L3,L4,xlsx_loss,s2p_loss,date,time,link_max_abs,cal_minus_rawtot_maxabs,tot_minus_prblnk_maxabs,ipd_mean,ipd_min,ipd_max,voa_min,voa_max,cols,probe_1G,f_at_1G,probe_5G,f_at_5G,probe_10G,f_at_10G,probe_15G,f_at_15G,probe_20G,f_at_20G,probe_25G,f_at_25G,probe_30G,f_at_30G,s2p,fam_applied,rms_to_A,rms_to_B
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/Bias_-5V_Iph_5mA_200ohm.xlsx,a225af18196745c4830df60d12258af7,60,1,0.33,26.33,14,-5.000000E+00 V,-29.67 (mA),1555.6 (nm),1555.016 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,17:55:50,0.0,1.7763568394002505e-15,0.0,-29.598516666666665,-29.67,-29.511,10.166,10.203,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.18,0.83,0.32,5.08,0.47,10.0,0.85,14.83,1.07,19.83,1.2,24.83,,,Cal.s2p,A,1.0167146220181033e-15,0.368745008584431
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/Bias_-7V_Iph_1mA.xlsx,19e45eb6849dbecfafea92125becb5bb,60,0,0.33,26.33,14,-7.000000E+00 V,-34.739 (mA),1555.6 (nm),1555.014 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,16:01:21,0.0,3.552713678800501e-15,0.0,-34.735283333333335,-34.742,-34.729,3.755,3.798,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.18,0.83,0.32,4.92,0.47,9.83,0.88,15.17,1.07,19.83,1.2,24.83,,,Cal.s2p,A,1.3774522943022217e-15,0.40061411191652574
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/new cal/Bias_-3V_Iph_1mA.xlsx,1bc4c4b677809353e04819d1b0cb1742,60,0,0.5,26.17,14,-3.000000E+00 V,-15.999 (mA),1555.6 (nm),1555.008 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,16:58:58,0.0,3.552713678800501e-15,0.0,-15.990783333333336,-15.999,-15.979,3.75,3.783,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,4.92,0.47,10.0,0.87,15.0,1.08,20.17,1.19,24.67,,,Cal.s2p,A,0.006324555320336589,0.36239021326005255
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/new cal/Bias_-5V_Iph_0_5mA.xlsx,2390768fb22c8c8054da24f9afef2c78,60,0,0.5,26.67,14,-5.000000E+00 V,-24.95 (mA),1555.6 (nm),1555.019 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,17:23:03,0.0,3.552713678800501e-15,0.0,-24.94475,-24.95,-24.943,0.431,0.468,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.25,1.17,0.33,4.58,0.48,10.17,0.85,14.83,1.08,20.17,1.2,25.0,,,Cal.s2p,A,0.007302967433402099,0.4024363303679227
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/new cal/Bias_-5V_Iph_1mA.xlsx,3babce88b487840fe2501c4cc719a5b2,60,0,0.33,26.5,14,-5.000000E+00 V,-25.537 (mA),1555.6 (nm),1555.019 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,16:27:18,0.0,0.0100000000000015,0.0,-25.511049999999997,-25.537,-25.501,3.756,3.794,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.33,5.25,0.47,10.0,0.87,15.0,1.08,20.0,1.2,25.17,,,Cal.s2p,A,0.008062257748298414,0.39672618601078846
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/new cal/Bias_-5V_Iph_3mA.xlsx,59b83fc62c354786308c6b9026497222,60,5,1.0,27.08,14,-5.000000E+00 V,-27.554 (mA),1555.6 (nm),1555.023 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,17:38:57,0.0,0.0100000000000015,0.0,-27.491716666666665,-27.555,-27.438,8.13,8.166,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,4.75,0.46,9.83,0.88,15.17,1.08,20.0,1.2,24.83,,,Cal.s2p,A,0.006605782590758145,0.3707412721954367
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/new cal/Bias_-5V_Iph_5mA.xlsx,087b64e39f38b9492c9f27f19de0b54a,60,1,0.33,26.33,14,-5.000000E+00 V,-29.67 (mA),1555.6 (nm),1555.016 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,17:55:50,0.0,0.0100000000000006,0.0,-29.598516666666665,-29.67,-29.511,10.166,10.203,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.18,0.83,0.32,5.08,0.47,10.0,0.85,14.83,1.07,19.83,1.2,24.83,,,Cal.s2p,A,0.00802538345881457,0.3692502711060132
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/new cal/Bias_-7V_Iph_1mA_200ohm.xlsx,39bf9d094677dbe0b2f0055cbdbd97a0,60,0,0.33,26.33,14,-7.000000E+00 V,-34.739 (mA),1555.6 (nm),1555.014 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/Cal.s2p,03/29/2026,16:01:21,0.0,3.552713678800501e-15,0.0,-34.735283333333335,-34.742,-34.729,3.755,3.798,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm)|Unnamed: 8,0.18,0.83,0.32,4.92,0.46,9.83,0.88,15.17,1.07,19.83,1.2,24.83,,,Cal.s2p,A,0.0068313005106396514,0.4004684756631913
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/Bias_-3V_Iph_1mA.xlsx,2def37747292b360f8df2a6edf2dd3b3,70,1,0.67,37.0,14,-3.000000E+00 V,-85.618 (mA),1555.6 (nm),1555.025 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,18:41:43,0.0,3.552713678800501e-15,0.0,-85.6204857142857,-85.631,-85.608,3.685,3.724,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.29,1.17,0.39,4.92,0.35,10.0,0.63,14.67,1.49,20.0,1.22,25.17,1.24,29.92,S21_cal_bias_tee_cal.s2p,B,0.34296090733612805,1.8390093289503807e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/Bias_-5V_Iph_0.5mA.xlsx,5863b8e2f00b4ec674acb4c428274685,70,1,0.5,37.17,14,-5.000000E+00 V,-135.624 (mA),1555.6 (nm),1555.030 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,19:04:41,0.0,7.105427357601002e-15,0.0,-135.62547142857142,-135.646,-135.599,0.578,0.618,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.4,5.08,0.33,9.83,0.72,15.17,1.36,19.83,1.23,24.83,1.24,29.92,S21_cal_bias_tee_cal.s2p,B,0.3526185966483142,1.5616504268638406e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/Bias_-5V_Iph_1mA.xlsx,1209194cde6a8b731a423b81cd09b6eb,70,0,0.5,36.83,14,-5.000000E+00 V,-136.184 (mA),1555.6 (nm),1555.021 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,18:19:08,0.0,3.552713678800501e-15,0.0,-136.1618142857143,-136.185,-136.145,3.694,3.733,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.38,4.75,0.35,10.0,0.72,15.17,1.36,19.83,1.23,25.0,1.26,30.08,S21_cal_bias_tee_cal.s2p,B,0.332047429160141,1.0619079481808573e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/Bias_-5V_Iph_3mA.xlsx,e068eee3c8868480a01a2a02bdad4010,70,1,0.5,36.67,14,-5.000000E+00 V,-138.089 (mA),1555.6 (nm),1555.020 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,19:26:52,0.0,3.552713678800501e-15,0.0,-138.1080285714286,-138.146,-138.073,8.059,8.1,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.38,4.75,0.29,10.17,0.72,15.17,1.49,20.0,1.22,25.17,1.18,29.75,S21_cal_bias_tee_cal.s2p,B,0.3408922696284281,1.272183572430326e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/Bias_-5V_Iph_5mA_38ohm.xlsx,efd558476ccead072d2b08140b7c63cb,70,1,0.33,36.83,14,-5.000000E+00 V,-139.963 (mA),1555.6 (nm),1555.025 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,19:43:32,0.0,1.7763568394002505e-15,0.0,-140.00220000000002,-140.072,-139.934,10.207,10.247,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.4,5.08,0.33,9.83,0.69,15.0,1.6,20.17,1.23,24.83,1.25,30.25,S21_cal_bias_tee_cal.s2p,B,0.34330093252095806,1.024534477960842e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/Bias_-7V_Iph_1mA.xlsx,1ad6ba1b47a0b6f76c14231ca515fe78,70,0,0.5,36.67,14,-7.000000E+00 V,-176.747 (mA),1555.6 (nm),1555.020 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,17:55:28,0.0,3.552713678800501e-15,0.0,-176.7103,-176.757,-176.66,3.697,3.735,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm)|Unnamed: 8|Unnamed: 9|Unnamed: 10,0.23,1.0,0.38,4.75,0.29,10.17,0.72,15.17,1.49,20.0,1.23,25.0,1.18,29.75,S21_cal_bias_tee_cal.s2p,B,0.3446736598369337,1.4538654070910221e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/new cal/Bias_-3V_Iph_1mA.xlsx,5ef5551c0a0be56d5dfad6532fe7372e,70,1,0.67,37.0,14,-3.000000E+00 V,-85.618 (mA),1555.6 (nm),1555.025 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,18:41:43,0.0,0.0100000000000015,0.0,-85.6204857142857,-85.631,-85.608,3.685,3.724,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.25,1.17,0.32,4.92,0.47,10.0,0.83,14.67,1.08,20.0,1.2,25.17,1.11,29.92,S21_cal_bias_tee_cal.s2p,A,0.012876100884800545,0.3426410637251825
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/new cal/Bias_-5V_Iph_0_5mA.xlsx,d72308e71d0b9a3e08c877ef83ba03ec,70,1,0.5,37.17,14,-5.000000E+00 V,-135.624 (mA),1555.6 (nm),1555.030 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,19:04:41,0.0,0.0100000000000015,0.0,-135.62547142857142,-135.646,-135.599,0.578,0.618,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,5.08,0.46,9.83,0.88,15.17,1.07,19.83,1.2,24.83,1.11,29.92,S21_cal_bias_tee_cal.s2p,A,0.013165856898260471,0.35351649614053093
